iter	Logloss
732	0.1513099289
733	0.151206255
734	0.1510578156
735	0.1508851814
736	0.1506722355
737	0.1505035305
738	0.1504028702
739	0.1502186871
740	0.1500885582
741	0.1499468231
742	0.1497889709
743	0.1496085358
744	0.1494483471
745	0.1493646526
746	0.149189558
747	0.1490192032
748	0.1488715649
749	0.1487540817
750	0.1486859322
751	0.1485526085
752	0.14842556
753	0.1483550644
754	0.1482900238
755	0.1481869793
756	0.1481220913
757	0.1480123901
758	0.1478473854
759	0.1477093697
760	0.1475590611
761	0.1474617481
762	0.147316227
763	0.1471634865
764	0.1470185471
765	0.1468062878
766	0.1467192745
767	0.1466456795
768	0.1465378571
769	0.146411438
770	0.146293478
771	0.146124773
772	0.1460351849
773	0.1459062004
774	0.145747366
775	0.1455553722
776	0.1453890705
777	0.1451935577
778	0.1450853348
779	0.1450256157
780	0.1449184036
781	0.1448288631
782	0.1447005844
783	0.1445577621
784	0.1444526291
785	0.144338913
786	0.1442852402
787	0.1442104626
788	0.1441246986
789	0.1440420723
790	0.1439328384
791	0.1437988567
792	0.1436935425
793	0.1435919189
794	0.1435053539
795	0.1434148121
796	0.143318758
797	0.1432542706
798	0.1431584263
799	0.1430348778
800	0.1428913307
801	0.1427956867
802	0.1426703739
803	0.1425661945
804	0.1425027561
805	0.1424073315
806	0.1422563457
807	0.1421613312
808	0.1419976425
809	0.1419438744
810	0.1418828773
811	0.1417521667
812	0.1415817833
813	0.141524334
814	0.1413548756
815	0.1412750435
816	0.1411862946
817	0.1411017418
818	0.1409562111
819	0.1407954979
820	0.1407184029
821	0.1405531979
822	0.1403627205
823	0.1402259922
824	0.1400734329
825	0.1398451519
826	0.1397553062
827	0.139627285
828	0.1395205498
829	0.1394754505
830	0.1393516636
831	0.139212513
832	0.1391235638
833	0.1390813351
834	0.1389699364
835	0.1388864422
836	0.1387561607
837	0.1386562824
838	0.1385072613
839	0.1384737015
840	0.1384035873
841	0.1383821487
842	0.1382470703
843	0.1381322193
844	0.1379823589
845	0.1378513718
846	0.1377591133
847	0.1376575279
848	0.1375627708
849	0.1374243736
850	0.1373140717
851	0.1371917343
852	0.137080164
853	0.1369641685
854	0.1368941879
855	0.1367554855
856	0.1366916847
857	0.1366163826
858	0.1365334129
859	0.1365012074
860	0.136346283
861	0.1362620735
862	0.1361325455
863	0.1360067177
864	0.1358859634
865	0.1358099937
866	0.1357129288
867	0.1356115532
868	0.1355502892
869	0.1354167461
870	0.1353158665
871	0.1351973057
872	0.1351144314
873	0.1350454998
874	0.1349518967
875	0.1348049927
876	0.1347113609
877	0.1345273018
878	0.1344364929
879	0.1342534065
880	0.1341302395
881	0.1340244579
882	0.1339265537
883	0.1338464928
884	0.1337403774
885	0.133650465
886	0.1335578728
887	0.1334806442
888	0.1334201622
889	0.1333377838
890	0.1332613754
891	0.1331133461
892	0.1330205154
893	0.1328824139
894	0.1326573181
895	0.1325385284
896	0.1324324703
897	0.1323342514
898	0.1322208405
899	0.1321396732
900	0.1320459652
901	0.1319645786
902	0.1319113731
903	0.131826334
904	0.1317254353
905	0.1316163063
906	0.1315255737
907	0.1314110947
908	0.1312857723
909	0.1311917305
910	0.1311240196
911	0.1310407543
912	0.1309802246
913	0.1309325981
914	0.1307765007
915	0.1306685162
916	0.1306018257
917	0.1304771328
918	0.1303750896
919	0.1302640152
920	0.1301520348
921	0.1300165558
922	0.1298658562
923	0.1297251892
924	0.1295634651
925	0.1294559669
926	0.1293650246
927	0.1293237495
928	0.1291986752
929	0.1290943909
930	0.1290386772
931	0.1289356613
932	0.1288321686
933	0.1287373543
934	0.1286469555
935	0.1286064625
936	0.1285024452
937	0.1284058571
938	0.1283184528
939	0.1281907845
940	0.12813344
941	0.1280496788
942	0.1279940414
943	0.1278880692
944	0.1277418137
945	0.1276387405
946	0.1275748062
947	0.1274711704
948	0.1273002148
949	0.1271894455
950	0.1271129608
951	0.1269895744
952	0.1269315338
953	0.1268073368
954	0.1267835426
955	0.1267312241
956	0.126629982
957	0.1264899921
958	0.1263657665
959	0.1263396454
960	0.1262867451
961	0.126186552
962	0.1261118603
963	0.1260255051
964	0.1259657955
965	0.1259034443
966	0.1257734489
967	0.1257310867
968	0.1256217384
969	0.1255940914
970	0.125531292
971	0.125449934
972	0.1253089523
973	0.1251794434
974	0.1250858498
975	0.1250271606
976	0.1249381828
977	0.124882679
978	0.1247829723
979	0.1247059727
980	0.1246424866
981	0.1245948505
982	0.1245274544
983	0.1244221401
984	0.1243318748
985	0.1242093468
986	0.1241208553
987	0.124003849
988	0.1238541412
989	0.1237650299
990	0.1236416817
991	0.1235350227
992	0.1235108757
993	0.1234102249
994	0.123284874
995	0.1231274986
996	0.1230336285
997	0.122930975
998	0.1228489876
999	0.1227644825
